#---------------------------------
#  col1  col2
  0.000000    1.546927
  1.000000    1.736431
  2.000000    2.215431
  3.000000    1.784280
  4.000000    0.790258
  5.000000    0.031843
  6.000000   -0.923626
  7.000000   -1.751375
  8.000000   -2.237504
  9.000000   -2.309521
  10.000000   -1.808337
  11.000000   -0.522004
  12.000000    0.193358
  13.000000    1.049232
  14.000000    2.073874
  15.000000    1.975083
  16.000000    1.483449
  17.000000    1.020072
  18.000000   -0.346997
  19.000000   -1.718224
  20.000000   -1.922197
  21.000000   -2.296117
  22.000000   -2.064431
  23.000000   -0.998217
  24.000000   -0.153316
  25.000000    1.137056
  26.000000    2.110909
  27.000000    1.984092
  28.000000    2.539031
  29.000000    1.459715
  30.000000    0.457624
  31.000000   -0.802046
  32.000000   -1.857762
  33.000000   -2.102987
  34.000000   -2.338332
  35.000000   -1.541560
  36.000000   -0.940634
  37.000000    1.131820
  38.000000    1.487181
  39.000000    1.992744
  40.000000    2.323562
  41.000000    1.477698
  42.000000    0.676721
  43.000000   -0.474352
  44.000000   -1.107867
  45.000000   -2.337848
  46.000000   -2.019775
  47.000000   -2.739905
  48.000000   -1.644391
  49.000000    0.011781
  50.000000    1.034463
  51.000000    2.037978
  52.000000    2.400420
  53.000000    2.344507
  54.000000    1.591388
  55.000000    0.365871
  56.000000   -0.908018
  57.000000   -1.543188
  58.000000   -2.557156
  59.000000   -3.041230
  60.000000   -1.713676
  61.000000   -0.481723
  62.000000    0.549215
  63.000000    0.727514
  64.000000    1.955187
  65.000000    2.162520
  66.000000    2.074485
  67.000000    1.319350
  68.000000   -0.375902
  69.000000   -1.156888
  70.000000   -2.238698
  71.000000   -2.406541
  72.000000   -1.861680
  73.000000   -1.474703
  74.000000   -0.415272
  75.000000    1.015717
  76.000000    1.598828
  77.000000    2.273267
  78.000000    2.209011
  79.000000    1.758354
  80.000000    0.553469
  81.000000   -1.257431
  82.000000   -1.044855
  83.000000   -2.258815
  84.000000   -2.004194
  85.000000   -1.722751
  86.000000   -1.206638
  87.000000    0.246201
  88.000000    1.377268
  89.000000    2.057458
  90.000000    2.271500
  91.000000    1.919600
  92.000000    1.346293
  93.000000   -0.184235
  94.000000   -1.427797
  95.000000   -2.123603
  96.000000   -2.248833
  97.000000   -2.243055
  98.000000   -1.140870
  99.000000   -0.627367
  100.000000    1.603912
